"Expr1000","MSW05binom","POINT_X","POINT_Y","binomial_tree","Class","Family","Genus","Species","1-1_ActivityCycle","2-1_AgeatEyeOpening_d","3-1_AgeatFirstBirth_d","5-1_AdultBodyMass_g","5-2_BasalMetRateMass_g","5-3_NeonateBodyMass_g","5-4_WeaningBodyMass_g","5-5_AdultBodyMass_g_EXT","5-6_NeonateBodyMass_g_EXT","5-7_WeaningBodyMass_g_EXT","6-1_DietBreadth","6-2_TrophicLevel","7-1_DispersalAge_d","8-1_AdultForearmLen_mm","9-1_GestationLen_d","10-1_PopulationGrpSize","10-2_SocialGrpSize","12-1_HabitatBreadth","12-2_Terrestriality","13-1_AdultHeadBodyLen_mm","13-2_NeonateHeadBodyLen_mm","13-3_WeaningHeadBodyLen_mm","14-1_InterbirthInterval_d","15-1_LitterSize","16-1_LittersPerYear","16-2_LittersPerYear_EXT","17-1_MaxLongevity_m","18-1_BasalMetRate_mLO2hr","21-1_PopulationDensity_n/km2","22-1_HomeRange_km2","22-2_HomeRange_Indiv_km2","23-1_SexualMaturityAge_d","24-1_TeatNumber","25-1_WeaningAge_d","26-1_GR_Area_km2","26-2_GR_MaxLat_dd","26-3_GR_MinLat_dd","26-4_GR_MidRangeLat_dd","26-5_GR_MaxLong_dd","26-6_GR_MinLong_dd","26-7_GR_MidRangeLong_dd","27-1_HuPopDen_Min_n/km2","27-2_HuPopDen_Mean_n/km2","27-3_HuPopDen_5p_n/km2","27-4_HuPopDen_Change","28-1_Precip_Mean_mm","28-2_Temp_Mean_01degC","30-1_AET_Mean_mm","30-2_PET_Mean_mm"
"Pelomys hopkinsi","Pelomys hopkinsi",30.15,-2.39,"Pelomys_hopkinsi","Rodentia","Muridae","Pelomys","hopkinsi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31127.3","-0.24","-2.96","-1.6","35.1","29.2","32.15","41","205.6","53","0.02","96.09","197.45","1231.89","1477.04"
"Pelomys minor","Pelomys minor",25.87,-8.51,"Pelomys_minor","Rodentia","Muridae","Pelomys","minor",,,,"49.99",,,,,,,,,,,,,,,,,,,,"2.5",,,,,,,,,,,"1043824.08","-2.83","-12.66","-7.74","32.25","19.48","25.87","2","21.2","2","0.16","111.73","225.67","1013.49","1505.29"
"Pentalagus furnessi","Pentalagus furnessi",129.43,28.20,"Pentalagus_furnessi","Lagomorpha","Leporidae","Pentalagus","furnessi","1",,,,,,,"2295.21",,,"3","1",,,,,,"2","1","443.99",,,,"2.44",,,,,,,,,,,"960.37","28.51","27.65","28.08","129.72","128.88","129.3","365","365","365","0.04",,,,
"Oecomys concolor","Oecomys concolor",-61.86,-13.51,"Oecomys_concolor","Rodentia","Cricetidae","Oecomys","concolor",,,,"46.33",,,,,,,,,,,,,,"1","2",,,,,"2.95","4.2",,,,"135.08",,,"92.8",,,"5462130.43","11.51","-27.15","-7.81","-45.83","-77.88","-61.86","0","14.69","0","0.12","169.67","248.91","1428.02","1586.33"
"Oecomys flavicans","Oecomys flavicans",-69.53,10.01,"Oecomys_flavicans","Rodentia","Cricetidae","Oecomys","flavicans",,,,"73.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40871.5","11.14","7.79","9.46","-66.02","-73.04","-69.53","7","176.78","11","0.11","99","233.69","1363.89","1725.75"
"Oecomys mamorae","Oecomys mamorae",-63.99,-16.03,"Oecomys_mamorae","Rodentia","Cricetidae","Oecomys","mamorae",,,,"62.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"939350.65","-11.43","-20.46","-15.95","-55.87","-72.1","-63.99","0","4.15","0","0.16","131.24","236.93","1243.94","1474.37"
"Oecomys phaeotis","Oecomys phaeotis",-72.43,-12.44,"Oecomys_phaeotis","Rodentia","Cricetidae","Oecomys","phaeotis",,,,"73.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102039.14","-8.86","-14.49","-11.68","-69.08","-75.79","-72.43","1","7.24","1","0.08","207.59","201.8","1302.38","1467.62"
"Oecomys rex","Oecomys rex",-55.54,4.20,"Oecomys_rex","Rodentia","Cricetidae","Oecomys","rex",,,,"73.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"518332.04","8.63","-1.11","3.75","-49.87","-61.2","-55.54","0","3.33","0","0.08","176.38","253.61","1505.22","1722.07"
"Oecomys roberti","Oecomys roberti",-62.72,-2.62,"Oecomys_roberti","Rodentia","Cricetidae","Oecomys","roberti",,,,"73.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2124839.5","7.56","-13.57","-3","-51.41","-74.03","-62.72","0","1.67","0","0.11","186.59","251.1","1517.52","1607.72"
"Oecomys rutilus","Oecomys rutilus",-56.51,3.93,"Oecomys_rutilus","Rodentia","Cricetidae","Oecomys","rutilus",,,,"73.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"442179.94","8.53","1.18","4.86","-51.64","-61.38","-56.51","0","3.44","0","0.09","160.63","252.44","1527.12","1718.92"
