"Expr1000","MSW05binom","POINT_X","POINT_Y","binomial_tree","Class","Family","Genus","Species","1-1_ActivityCycle","2-1_AgeatEyeOpening_d","3-1_AgeatFirstBirth_d","5-1_AdultBodyMass_g","5-2_BasalMetRateMass_g","5-3_NeonateBodyMass_g","5-4_WeaningBodyMass_g","5-5_AdultBodyMass_g_EXT","5-6_NeonateBodyMass_g_EXT","5-7_WeaningBodyMass_g_EXT","6-1_DietBreadth","6-2_TrophicLevel","7-1_DispersalAge_d","8-1_AdultForearmLen_mm","9-1_GestationLen_d","10-1_PopulationGrpSize","10-2_SocialGrpSize","12-1_HabitatBreadth","12-2_Terrestriality","13-1_AdultHeadBodyLen_mm","13-2_NeonateHeadBodyLen_mm","13-3_WeaningHeadBodyLen_mm","14-1_InterbirthInterval_d","15-1_LitterSize","16-1_LittersPerYear","16-2_LittersPerYear_EXT","17-1_MaxLongevity_m","18-1_BasalMetRate_mLO2hr","21-1_PopulationDensity_n/km2","22-1_HomeRange_km2","22-2_HomeRange_Indiv_km2","23-1_SexualMaturityAge_d","24-1_TeatNumber","25-1_WeaningAge_d","26-1_GR_Area_km2","26-2_GR_MaxLat_dd","26-3_GR_MinLat_dd","26-4_GR_MidRangeLat_dd","26-5_GR_MaxLong_dd","26-6_GR_MinLong_dd","26-7_GR_MidRangeLong_dd","27-1_HuPopDen_Min_n/km2","27-2_HuPopDen_Mean_n/km2","27-3_HuPopDen_5p_n/km2","27-4_HuPopDen_Change","28-1_Precip_Mean_mm","28-2_Temp_Mean_01degC","30-1_AET_Mean_mm","30-2_PET_Mean_mm"
"Callosciurus adamsi","Callosciurus adamsi",114.32,3.48,"Callosciurus_adamsi","Rodentia","Sciuridae","Callosciurus","adamsi","3",,,"208.72",,,,,,,"6","2",,,,,,"1","2","203.5",,,,"1.94",,,,,,,,,"5",,"30384.46","5.47","2.22","3.84","117.88","113.3","115.59","1","9.09","1","0.16","287.63","235.52","1719.17","1747.03"
"Callosciurus albescens","Callosciurus albescens",100.63,0.25,"Callosciurus_albescens","Rodentia","Sciuridae","Callosciurus","albescens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"432350.65","5.65","-5.94","-0.14","106.08","95.18","100.63","20","92.24","28","0.14","229.28","252.45","1697.6","1774.17"
"Callosciurus baluensis","Callosciurus baluensis",115.82,4.75,"Callosciurus_baluensis","Rodentia","Sciuridae","Callosciurus","baluensis","3",,,"323.91",,,,,,,"6","2",,,,,,"1","2","203.5",,,,"3",,,,,,,,,"5",,"20853.19","6.26","3.48","4.87","117.07","114.56","115.82","3","18.16","3","0.26","271.96","226.05","1790.43","1858.35"
"Callosciurus caniceps","Callosciurus caniceps",100.36,5.09,"Callosciurus_caniceps","Rodentia","Sciuridae","Callosciurus","caniceps",,,,"264.91",,,,,,,,,,,,,,"1","2","211.08",,,,"2.19",,,"114",,"18.6","0.01","0.01",,,,"420861.69","20.24","2.65","11.44","103.04","97.69","100.36","3","112.44","8","0.08","183.7","249.01","1283.38","1697.82"
"Callosciurus erythraeus","Callosciurus erythraeus",105.37,10.61,"Callosciurus_erythraeus","Rodentia","Sciuridae","Callosciurus","erythraeus",,,,"283.23",,,,,,,"3","1",,,,,,"1","2","211.93",,,,"1.94","2",,"193.2",,"622.69","0.00895","0.00878",,,,"2354368.13","31.76","6.6","19.18","122.13","88.61","105.37","1","206.18","5","0.08","142.62","188.9","1101.79","1352.84"
"Callosciurus finlaysonii","Callosciurus finlaysonii",102.72,13.20,"Callosciurus_finlaysonii","Rodentia","Sciuridae","Callosciurus","finlaysonii",,,,,,,,,,,,,,,,,,"1","2",,,,,,,,,,,,,,,,"723854.08","20.23","8.55","14.39","108.18","97.26","102.72","2","114.64","7","0.1","161.37","250.25","1131.43","1592.3"
"Callosciurus inornatus","Callosciurus inornatus",103.39,20.68,"Callosciurus_inornatus","Rodentia","Sciuridae","Callosciurus","inornatus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"235249.21","23.1","17.77","20.43","106.37","100.41","103.39","5","113.42","9","0.11","129.13","198.19","1067.23","1283.09"
"Callosciurus melanogaster","Callosciurus melanogaster",98.94,-1.41,"Callosciurus_melanogaster","Rodentia","Sciuridae","Callosciurus","melanogaster","3",,,"296",,,,,,,"4","2",,,,,,"2","2","213",,,,,,,,,,,,,,,"5140.87","-0.91","-2.85","-1.88","100.22","98.58","99.4","43","56.87","43","0.08","340","259",,
"Callosciurus nigrovittatus","Callosciurus nigrovittatus",114.05,0.63,"Callosciurus_nigrovittatus","Rodentia","Sciuridae","Callosciurus","nigrovittatus","3",,,"208.3",,,,,,,"6","2",,,,,,"1","2","203.5",,,,"2.36",,,,,"5.75","0.01","0.01",,"5",,"1450546.42","7.64","-8.78","-0.56","119.26","95.18","107.22","1","153.65","4","0.14","238.9","248.29","1667.44","1736.8"
"Callosciurus notatus","Callosciurus notatus",114.05,0.63,"Callosciurus_notatus","Rodentia","Sciuridae","Callosciurus","notatus","3",,,"209.49",,,,,,,"6","2",,,,,,"1","2","203.5",,,,"2.62",,,"115.2",,"98.32","0.02","0.01","413.84","5",,"1474469.76","9.25","-8.78","0.23","119.26","95.18","107.22","1","153.2","4","0.14","237.33","248.57","1665.17","1740.34"
"Callosciurus orestes","Callosciurus orestes",115.85,4.73,"Callosciurus_orestes","Rodentia","Sciuridae","Callosciurus","orestes","3",,,"323.91",,,,,,,"6","2",,,,,,"1","2","203.5",,,,"3",,,,,,,,,"5",,"35107.14","6.13","1.91","4.02","117.52","114.19","115.85","1","10.34","1","0.23","281.49","223.26","1743.05","1779.12"
"Callosciurus phayrei","Callosciurus phayrei",98.29,23.20,"Callosciurus_phayrei","Rodentia","Sciuridae","Callosciurus","phayrei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99941.58","25.01","16.95","20.98","99.69","96.89","98.29","5","45.75","10","0.06","126.01","178.2","1059.71","1455.36"
"Callosciurus prevostii","Callosciurus prevostii",114.05,0.63,"Callosciurus_prevostii","Rodentia","Sciuridae","Callosciurus","prevostii","3",,,"400",,"16.34",,,,,"6","2",,,"46.08",,,"1","2","247",,,,"1.29",,,"68",,,,,,"5",,"1315342.19","7.06","-5.94","0.55","119.26","95.18","107.22","1","71.14","4","0.15","243.8","248.44","1686.88","1743.09"
"Callosciurus pygerythrus","Callosciurus pygerythrus",94.01,20.79,"Callosciurus_pygerythrus","Rodentia","Sciuridae","Callosciurus","pygerythrus",,,,,,,,,,,,,,,,,,"1","2",,,,,,,,,,,,,,,,"503627.21","27.67","16.5","22.08","104.04","90.28","97.16","1","153.56","6","0.07","170.22","214.69","1049.62","1357.19"
"Callosciurus quinquestriatus","Callosciurus quinquestriatus",98.22,24.58,"Callosciurus_quinquestriatus","Rodentia","Sciuridae","Callosciurus","quinquestriatus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21108.92","25.83","23.59","24.71","98.98","97.46","98.22","20","63.02","20","0.06","136.44","79.19","1054.64","1313.57"
"Calomys boliviae","Calomys boliviae",-65.04,-19.62,"Calomys_boliviae","Rodentia","Cricetidae","Calomys","boliviae",,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108148.2","-17.09","-22.5","-19.8","-63.82","-66.27","-65.04","3","11.29","3","0.09","59.05","134.45","760.61","1425.07"
"Calomys hummelincki","Calomys hummelincki",-65.59,8.65,"Calomys_hummelincki","Rodentia","Cricetidae","Calomys","hummelincki","1",,,"27",,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,"333859.81","12.19","5.54","8.87","-61.01","-72.19","-66.6","0","23.88","0","0.14","105.43","258.3","1295.97","1746.07"
"Calomys laucha","Calomys laucha",-61.08,-20.23,"Calomys_laucha","Rodentia","Cricetidae","Calomys","laucha",,,,"14",,,,,,,"3","2",,,"25",,,"2","2",,,,,"5.3",,,,,,,,,,,"1239274","-15.11","-39.11","-27.11","-53.67","-65.97","-59.82","0","22.38","0","0.07","82.65","198.33","953.17","1186.92"
"Calomys lepidus","Calomys lepidus",-70.61,-15.19,"Calomys_lepidus","Rodentia","Cricetidae","Calomys","lepidus",,,,"20.59","16","2",,,,,,,,,,,,"1","1",,,,"20.75","4.29",,"4.69",,"28.8",,,,,,,"593465.1","-9.22","-23.53","-16.37","-64.61","-76.61","-70.61","0","15.44","0","0.06","74.28","67.19","667.13","1296.93"
"Calomys musculinus","Calomys musculinus",-63.02,-35.50,"Calomys_musculinus","Rodentia","Cricetidae","Calomys","musculinus",,,,"20.2","16.9",,,,,,"3","2",,,"20.97",,,"1","1",,,,,"6.27",,,,"27.59","253.33",,,"76.03",,,"869814.79","-22.73","-40.5","-31.61","-57.54","-68.49","-63.02","0","28.74","1","0.08","51.57","145.66","620","975.64"
"Calomys sorellus","Calomys sorellus",-74.89,-12.71,"Calomys_sorellus","Rodentia","Cricetidae","Calomys","sorellus",,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"205439.89","-6.35","-16.74","-11.55","-70.55","-79.24","-74.89","3","23.07","4","0.06","62.31","70.89","726.99","1342.9"
"Calomys tener","Calomys tener",-44.63,-23.30,"Calomys_tener","Rodentia","Cricetidae","Calomys","tener",,,,"13.8",,,,,,,,,,,,,,,,"69.2",,,,,,,,,,,,,,,"915351.64","-12.41","-24.88","-18.65","-40.09","-49.17","-44.63","1","90.74","3","0.06","121.18","207.69","1117.14","1407.18"
"Calomyscus bailwardi","Calomyscus bailwardi",51.23,31.36,"Calomyscus_bailwardi","Rodentia","Calomyscidae","Calomyscus","bailwardi",,,,"21.38",,,,,,,,,,,,,,,,,,,,"4","1",,,,"354.3",,,,,,"102086.07","34.05","29.11","31.58","53.58","48.88","51.23","30","42.95","31","0.12","24.52","130.14","292.44","1293.3"
"Calomyscus baluchi","Calomyscus baluchi",68.77,33.74,"Calomyscus_baluchi","Rodentia","Calomyscidae","Calomyscus","baluchi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29169.13","35.11","29.1","32.11","69.67","67.12","68.4","27","96.98","28","0.31","31.18","63.53","319.05","1137.82"
"Calomyscus elburzensis","Calomyscus elburzensis",57.72,37.04,"Calomyscus_elburzensis","Rodentia","Calomyscidae","Calomyscus","elburzensis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"204039.71","38.27","34.18","36.22","63.24","52.21","57.72","5","30.84","6","0.15","28.57","118.02","308","1031.21"
"Calomyscus hotsoni","Calomyscus hotsoni",64.92,26.77,"Calomyscus_hotsoni","Rodentia","Calomyscidae","Calomyscus","hotsoni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"231.5","26.85","26.69","26.77","65","64.83","64.92","12","13.5","12","0.12","16.5","207.5","165.5","1467.5"
"Calomyscus tsolovi","Calomyscus tsolovi",36.09,32.62,"Calomyscus_tsolovi","Rodentia","Calomyscidae","Calomyscus","tsolovi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.78","32.63","32.6","32.62","36.11","36.08","36.09","156","156","156","0.18","18","171","274","1348"
"Calomyscus urartensis","Calomyscus urartensis",45.41,39.02,"Calomyscus_urartensis","Rodentia","Calomyscidae","Calomyscus","urartensis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5580.24","39.54","38.53","39.04","45.78","45.04","45.41","23","55.42","23","0.05","31.81","91.45","436.71","862.15"
"Atelocynus microtis","Atelocynus microtis",-61.08,-7.13,"Atelocynus_microtis","Carnivora","Canidae","Atelocynus","microtis",,,,"8363.22",,,,,,,"1","3",,,,,"1","1","1","831.01",,,,,,,"132",,,,,,,,"7634256.6","4.79","-32.31","-13.76","-43.54","-78.61","-61.08","0","7.43","0","0.12","163.06","235.49","1316.27","1488"
"Atherurus africanus","Atherurus africanus",19.33,-2.46,"Atherurus_africanus","Rodentia","Hystricidae","Atherurus","africanus","1","0",,"2875.65",,"146.27",,,,,"5","2",,,"108.18",,"1","2","2","430.99","180",,,"1.5","2.75",,"274.8",,,"0.12","0.1",,,"45.37","5140711.56","12.42","-12.53","-0.05","36.65","-16.62","10.01","0","44.07","1","0.12","139.92","240.77","1261.44","1545.9"
"Atherurus macrourus","Atherurus macrourus",100.90,5.32,"Atherurus_macrourus","Rodentia","Hystricidae","Atherurus","macrourus","1",,,"2000",,,,,,,"5","2",,,,,,"2","2",,,,,"1.5",,,,,,,,,,,"2597040.51","31.4","-5.94","12.72","111.03","92.34","101.69","1","111.44","5","0.1","168.29","215.83","1225.15","1515.46"
"Atilax paludinosus","Atilax paludinosus",12.52,-16.34,"Atilax_paludinosus","Carnivora","Herpestidae","Atilax","paludinosus","2","11.5",,"3600.16",,"100","549.99",,,,"6","2",,,"77.27",,,"2","1","499.01",,,"182.5","2","2",,"209",,,"1.73","1.62","234.83","4","35.89","14296320.45","17.06","-34.83","-8.88","41.88","-16.82","12.52","0","37.15","1","0.13","99.93","233.39","986.68","1518.76"
"Atlantoxerus getulus","Atlantoxerus getulus",-6.64,32.55,"Atlantoxerus_getulus","Rodentia","Sciuridae","Atlantoxerus","getulus",,,,"250.57",,,,,,,,,,,,,,,,"189.1",,,,,,,"108",,,,,,,,"179364.26","34.96","28.29","31.63","-3.27","-10.01","-6.64","4","77.86","5","0.06","25.6","156.01","384.71","1270.58"
"Auliscomys boliviensis","Auliscomys boliviensis",-68.49,-17.08,"Auliscomys_boliviensis","Rodentia","Cricetidae","Auliscomys","boliviensis","3",,,"70.91","76.8",,,,,,,,,,,,,"1","1",,,,,"3.4",,,,"110.59",,,,,,,"207032.77","-14.83","-19.94","-17.39","-64.89","-72.09","-68.49","0","23.75","1","0.06","54.21","71.72","622.69","1213.64"
"Auliscomys pictus","Auliscomys pictus",-71.81,-14.15,"Auliscomys_pictus","Rodentia","Cricetidae","Auliscomys","pictus",,,,"48.97",,,,,,,,,,,,,,,,,,,,,,,,,"232.95",,,,,,"309321.99","-10.22","-17.82","-14.02","-66.9","-76.72","-71.81","1","20.05","4","0.05","96.91","80.66","848.79","1322.48"
"Auliscomys sublimis","Auliscomys sublimis",-68.78,-18.26,"Auliscomys_sublimis","Rodentia","Cricetidae","Auliscomys","sublimis",,,,"38",,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,"497531.43","-13.4","-24.79","-19.09","-64.22","-73.34","-68.78","0","13.3","0","0.06","62.02","38.57","591.15","1268.04"
"Avahi laniger","Avahi laniger",48.51,-18.96,"Avahi_laniger","Primates","Indriidae","Avahi","laniger","1",,"941.7","1092.28",,,,,"32.97",,"3","1",,,"136.15",,"2","2","2","275","89.99",,"365","1.01","1",,,,"84.85","0.01","0.01",,"2","149.15","85075.49","-14.08","-25.17","-19.63","50.45","46.57","48.51","5","39.98","8","0.18","176.9","197.46","1334.06","1600.05"
"Avahi occidentalis","Avahi occidentalis",47.14,-16.21,"Avahi_occidentalis","Primates","Indriidae","Avahi","occidentalis","2",,,"828.98",,,,,,,"1","1",,,,,"3","1","2",,,,,"1.02",,,,,"66.99","0.01","0.02",,,,"7563.78","-15.61","-19.15","-17.38","47.59","44.63","46.11","2","10.79","2","0.14","118.44","249.49","981.46","1557.76"
"Avahi unicolor","Avahi unicolor",48.30,-14.07,"Avahi_unicolor","Primates","Indriidae","Avahi","unicolor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2508.24","-13.77","-14.47","-14.12","48.58","48.01","48.3","8","14.75","8","0.18","140","207.51","1209.75","1682.36"
"Axis axis","Axis axis",81.46,22.29,"Axis_axis","Artiodactyla","Cervidae","Axis","axis",,,,"69499.99",,"3156.86",,,,,,,,,"227.49",,,,,,,,"425.83","1.01",,"1.01","249.6",,"6.69","0.67","2.67","543.68",,"121.66","2041090.04","28.58","5.91","17.25","89.82","73.11","81.46","22","361.47","93","0.09","96.14","256.61","814.1","1480.62"
"Axis calamianensis","Axis calamianensis",120.09,12.07,"Axis_calamianensis","Artiodactyla","Cervidae","Axis","calamianensis","3",,,"39812.6",,,,,,,,,,,"224",,,,,"1387.44",,,,"2",,,,,,,,,,,"1345.4","12.33","11.66","11.99","120.34","119.84","120.09","29","36.99","29","0.21",,,,
"Axis kuhlii","Axis kuhlii",112.64,-5.79,"Axis_kuhlii","Artiodactyla","Cervidae","Axis","kuhlii","3",,,"54999.99",,,,,,,"2","1",,,"227.49",,,,,"1375",,,,"1.22","1.3",,,,"4.44",,,,,,"197.86","-5.72","-5.86","-5.79","112.73","112.56","112.64","625","625","625","0.01",,,,
"Axis porcinus","Axis porcinus",87.70,26.73,"Axis_porcinus","Artiodactyla","Cervidae","Axis","porcinus",,,,"37448.29",,"2483.33",,,,,"3","1",,,"220.13",,"1.8",,,,,,,"1",,,"240",,"16.5","0.52",,"464.04",,,"2017514.05","32.58","8.55","20.57","107.57","67.83","87.7","0","144.43","6","0.09","136.98","213.51","979.62","1418.55"
"Babyrousa babyrussa","Babyrousa babyrussa",126.63,-3.43,"Babyrousa_babyrussa","Artiodactyla","Suidae","Babyrousa","babyrussa","3",,,"92950.09",,"715",,,,,"6","2",,,"156.5",,"4.5","1","1","950",,,,"1.73","1.5",,"288",,,,,"362.5","4","212.91","13309.7","-1.62","-3.84","-2.73","127.26","124.33","125.8","5","12.93","5","0.01","281.24","223",,
"Babyrousa celebensis","Babyrousa celebensis",121.12,-2.22,"Babyrousa_celebensis","Artiodactyla","Suidae","Babyrousa","celebensis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47657.62","1.55","-4.31","-1.37","125.29","119.82","122.55","17","45.21","17","0.07","231.15","206.52","1808.07","1884.79"
"Zaglossus attenboroughi","Zaglossus attenboroughi",140.53,-2.52,"Zaglossus_attenboroughi","Monotremata","Tachyglossidae","Zaglossus","attenboroughi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"504.34","-2.45","-2.59","-2.52","140.72","140.35","140.53","8","8","8","0.14","195","302.5","1702.5","1834.5"
"Balantiopteryx infusca","Balantiopteryx infusca",-79.63,-0.75,"Balantiopteryx_infusca","Chiroptera","Emballonuridae","Balantiopteryx","infusca","1",,,,,,,"9.05",,,,,,"38.99",,,,"1","2",,,,,,,,,,,,,,,,"68801.56","1.43","-2.73","-0.64","-78.29","-80.97","-79.63","0","83.28","9","0.11","121.57","242.2","1124.51","1461.07"
"Balantiopteryx io","Balantiopteryx io",-92.30,16.69,"Balantiopteryx_io","Chiroptera","Emballonuridae","Balantiopteryx","io","1",,,"3.97",,"0.59",,,,,,,,"37",,,,"1","2","40.2","25.02",,,"1",,,,,,,,,,,"211758.21","18.8","15","16.9","-88.21","-96.39","-92.3","3","40.29","4","0.13","144.32","239.45","1366.65","1623.94"
"Balantiopteryx plicata","Balantiopteryx plicata",-96.95,18.11,"Balantiopteryx_plicata","Chiroptera","Emballonuridae","Balantiopteryx","plicata","1",,"365","6.57",,"2",,,,,"1","3",,"42.23","138.81","112.5",,"1","2",,,,,"0.99","1",,,,,,,,,"58.59","841946.43","27.13","9.36","18.24","-71.82","-110.03","-90.93","3","88.19","8","0.09","106.96","216.78","1061.85","1571.82"
"Balionycteris maculata","Balionycteris maculata",100.63,0.25,"Balionycteris_maculata","Chiroptera","Pteropodidae","Balionycteris","maculata",,,,"14.43",,,,,,,"1","1",,"40.96",,,,"1","2",,,,,"1",,,,,,,,,,,"870187.37","7.09","-5.94","0.57","119.26","95.18","107.22","1","90.03","4","0.14","244.15","249.46","1690.56","1755.34"
"Bandicota bengalensis","Bandicota bengalensis",82.04,23.18,"Bandicota_bengalensis","Rodentia","Muridae","Bandicota","bengalensis",,,"91.25","226.99",,"4.85","22.9",,,,,,,,"18.89",,,,,,"47",,"61.9","7.29","5.9",,,,,,,"63.52",,"30.03","3698085.54","34.2","5.91","20.06","97.54","66.5","82.02","0","320.61","24","0.09","107.29","236.14","810.44","1418.33"
"Bandicota indica","Bandicota indica",91.08,25.17,"Bandicota_indica","Rodentia","Muridae","Bandicota","indica",,,"272.5","583.09",,"9.77","41",,,,,,,,"20.26",,,,,,,,"71.25","6.12",,"2.51",,,,,,"145.81",,"27.3","6308602.34","34.13","5.91","20.02","122","62.27","92.13","1","264.57","11","0.09","111.99","228.78","864.32","1417.41"
"Cephalophus niger","Cephalophus niger",-3.26,7.20,"Cephalophus_niger","Artiodactyla","Bovidae","Cephalophus","niger",,,,"19094.32",,"1940",,,,,"7","2",,,"126",,,"1","1","1041.8",,,,"1",,,"122.04",,"1.14",,,,"4","89.49","726891.4","9.29","4.29","6.79","6.75","-13.29","-3.26","3","100.88","8","0.1","154.49","259.8","1256.5","1574.35"
"Cephalophus nigrifrons","Cephalophus nigrifrons",19.89,-8.41,"Cephalophus_nigrifrons","Artiodactyla","Bovidae","Cephalophus","nigrifrons","2",,,"14676.33",,,,,,,"4","1",,,,,,"1","1","944.21",,,,,,,"236.4",,"2",,,,"4",,"2766201.07","5.12","-9.85","-2.36","37.79","8.69","23.24","0","27.94","1","0.13","140.38","238.38","1348.71","1548.31"
"Cephalophus ogilbyi","Cephalophus ogilbyi",10.66,-3.40,"Cephalophus_ogilbyi","Artiodactyla","Bovidae","Cephalophus","ogilbyi","3",,,"18386.42",,,,,,,,,,,"121.66",,,,,"1000",,,,"1",,,,,,"0.07","0.08",,"4",,"231511.16","7.15","-3.46","1.84","12.62","5.99","9.31","1","104.03","1","0.09","190.65","251.54","1242.62","1549.15"
"Cephalophus rufilatus","Cephalophus rufilatus",7.03,10.01,"Cephalophus_rufilatus","Artiodactyla","Bovidae","Cephalophus","rufilatus","3",,"794.63","12114.57",,"975.1",,,,,"5","2",,,"233.99",,"1","1","1","650",,,,"1",,,"114",,"3.18",,,,"4","85.59","3098970.49","16.1","2.73","9.41","31.61","-17.53","7.03","0","46.79","1","0.11","108.89","259.92","973.28","1601.7"
"Cephalophus silvicultor","Cephalophus silvicultor",7.25,6.31,"Cephalophus_silvicultor","Artiodactyla","Bovidae","Cephalophus","silvicultor","2",,,"62006.6",,"4400.72",,,,,"5","2",,,"234.43",,"1","1","1","1324.76",,,"306","1",,"1.2","207.96",,"0.5",,,,"4","34.9","6018051.89","13.58","-17.38","-1.89","37.39","-16.79","10.29","0","36.82","1","0.13","132.7","240.01","1197.42","1541.12"
"Cephalophus spadix","Cephalophus spadix",37.38,-3.15,"Cephalophus_spadix","Artiodactyla","Bovidae","Cephalophus","spadix","1",,,"56857.02",,,,,,,"3","1",,,,,,"1","1","1174.48",,,,,,,"65.04",,,,,,"4",,"36583.37","-2.6","-9.48","-6.04","38.83","33.33","36.08","8","49.38","11","0.16","77.3","222.71","950.45","1534.15"
"Cephalophus weynsi","Cephalophus weynsi",26.72,-0.50,"Cephalophus_weynsi","Artiodactyla","Bovidae","Cephalophus","weynsi",,,,,,,,,,,,,,,,,,,,,,,,,,,"183",,,,,,,,"1692834.41","5.14","-6.81","-0.83","37.26","16.17","26.72","0","42.21","3","0.16","134.53","234.61","1411.19","1589.32"
"Cephalophus zebra","Cephalophus zebra",-8.64,6.24,"Cephalophus_zebra","Artiodactyla","Bovidae","Cephalophus","zebra",,,,"15654.75",,"1704.99",,,,,"3","2",,,"223.89",,,"1","1","874.99",,,,"1",,,"146.04",,,,,,"4","13.64","171546.51","8.55","4.35","6.45","-5.5","-11.79","-8.64","3","37.94","5","0.03","214.55","247.86","1342.39","1540.94"
"Ceratotherium simum","Ceratotherium simum",26.25,-22.79,"Ceratotherium_simum","Perissodactyla","Rhinocerotidae","Ceratotherium","simum","2",,"2463.75","2285939.43",,"48500","274482.35",,,,"1","1","902.99",,"534.19","3.75",,"1","1","2586.81",,,"967.25","1",,"0.67","600",,"0.47","19.09","19","2741.23",,"365","3184467.13","9.74","-29.91","-10.08","39.53","12.96","26.25","0","18.23","0","0.11","60.61","216.38","729.59","1458.59"
"Cercartetus caudatus","Cercartetus caudatus",143.11,-5.71,"Cercartetus_caudatus","Diprotodontia","Burramyidae","Cercartetus","caudatus","1","49.5","465","23.05",,,"8.97",,,,"3","2",,,,,"3","3","2","97.97",,,"183","2.37","2",,"38.4",,"49.99",,,"464.04","4","76.04","221311.97","-1.09","-18.08","-9.58","150.93","133.77","142.35","0","8.67","0","0.13","233.35","203.07","1518.15","1688.53"
"Cercartetus concinnus","Cercartetus concinnus",121.10,-32.18,"Cercartetus_concinnus","Diprotodontia","Burramyidae","Cercartetus","concinnus","1",,"410.62","15.96","18.6","0.01",,,,,,,,,"52.14",,,"2","2",,,,"122","4.6","1",,,"22.32",,,,,"6","49.99","611282.88","-29.99","-37.65","-33.82","142.31","114.97","128.64","0","5.63","0","0.03","34.84","162.41","363.02","1088.35"
"Cercartetus lepidus","Cercartetus lepidus",146.48,-43.20,"Cercartetus_lepidus","Diprotodontia","Burramyidae","Cercartetus","lepidus","1",,,"8.03","12.6",,,,,,"2","2",,,,,,"2","2",,,,"365","3.33",,"1.1",,"18.77",,,,,"4","89.99","93697.61","-34.31","-43.64","-38.97","148.35","136.53","142.44","0","4.17","0","-0.06","49.34","130.35","474.06","888.43"
"Cercartetus nanus","Cercartetus nanus",146.65,-38.66,"Cercartetus_nanus","Diprotodontia","Burramyidae","Cercartetus","nanus","1",,"152.08","26.85","65","0.01","5.91",,,,"4","2",,,,,,"2","2",,,,"139.25","3.96","2",,"96","55.9","788.66","0.00556","0.00522","193.8","4","62.5","378748.79","-26.49","-43.64","-35.06","153.63","139.66","146.65","0","35.3","1","0.04","70.94","131.85","657.19","1010.73"
